c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, margin, auc
0.01, 0.001, 0.05, 16, 0.1, 0.0001, 0, 128, 0.0001, 0.01, 64, 0.5, 0.511102310153
0.0001, 0, 0.5, 8, 0.1, 0.0001, 0.7, 128, 0.0001, 0.001, 16, 1, 0.521086359238
0.01, 0, 0, 16, 0, 0.01, 0.3, 64, 0.0001, 0, 4, 0.5, 0.505953262834
0, 0.0001, 0.3, 32, 0, 0, 0.9, 258, 0.01, 0.0001, 16, 0.5, 0.507725004917
0, 0.001, 0.5, 16, 0.001, 0.1, 0.3, 258, 0.01, 0.01, 16, 5, 0.567663858648
0.001, 0.01, 0.3, 32, 0, 0.0001, 0.3, 258, 0.1, 0.001, 64, 0.5, 0.50626975529
0.0001, 0.01, 0, 32, 0.1, 0.0001, 0.1, 128, 0.01, 0.1, 64, 0.2, 0.506352765823
0.1, 0, 0.5, 32, 0.0001, 0.01, 0.3, 32, 0.01, 0, 64, 2, 0.517656392962
0.0001, 0.0001, 0.5, 32, 0.0001, 0, 0.9, 258, 0, 0, 64, 1, 0.497802233654
0, 0.01, 0.3, 8, 0, 0.1, 0.1, 64, 0.1, 0.001, 16, 0.5, 0.511965488141
0.1, 0, 0, 32, 0.1, 0.0001, 0.5, 64, 0, 0.001, 4, 0.2, 0.50839345677
0.001, 0.001, 0, 32, 0.0001, 0, 0.9, 128, 0, 0.001, 64, 2, 0.51723071074
0.0001, 0.1, 0.5, 32, 0.1, 0.01, 0, 128, 0.001, 0.1, 16, 0.5, 0.500418801951
0.0001, 0.0001, 0.5, 32, 0.001, 0.1, 0.9, 32, 0.0001, 0, 4, 0.2, 0.499918896999
0, 0.0001, 0.3, 16, 0.0001, 0.001, 0.5, 32, 0.001, 0.001, 4, 5, 0.596667133683
0.01, 0.0001, 0.1, 8, 0.001, 0.0001, 0, 128, 0.001, 0.1, 16, 0.2, 0.510011806966
0, 0, 0.3, 16, 0.01, 0.0001, 0.05, 32, 0.001, 0.0001, 4, 2, 0.583454316909
0.0001, 0.0001, 0.5, 8, 0.001, 0, 0.05, 258, 0.1, 0.01, 16, 1, 0.531927482209
0.1, 0, 0.1, 8, 0.1, 0, 0, 32, 0.001, 0.001, 16, 2, 0.540132211704
0.0001, 0.001, 0.3, 16, 0.01, 0, 0.7, 32, 0.1, 0.001, 4, 2, 0.550823205325
0.0001, 0, 0.5, 8, 0.01, 0.01, 0, 258, 0.1, 0.001, 64, 1, 0.536102596283
0.01, 0.1, 0.05, 16, 0.1, 0.01, 0.7, 32, 0.001, 0.001, 64, 1, 0.510545047685
0, 0, 0.1, 8, 0.001, 0.001, 0.3, 258, 0.001, 0.1, 64, 0.5, 0.531035388666
0.1, 0.001, 0, 8, 0.01, 0.0001, 0, 32, 0.0001, 0.001, 16, 2, 0.538144471216
0.001, 0.1, 0.3, 16, 0.001, 0.01, 0.05, 32, 0, 0.001, 64, 2, 0.518142063779
0.01, 0, 0, 16, 0, 0.001, 0.5, 128, 0.0001, 0, 64, 5, 0.530858132894
0.0001, 0.001, 0, 32, 0, 0.0001, 0, 258, 0, 0.0001, 16, 5, 0.659163698481
0.001, 0.0001, 0, 8, 0.001, 0.01, 0.7, 128, 0.01, 0.01, 16, 1, 0.517338598122
0.01, 0, 0.5, 32, 0.001, 0.1, 0, 128, 0.01, 0.1, 4, 0.5, 0.512386473888
0.01, 0.1, 0.3, 8, 0.001, 0.0001, 0.5, 32, 0.1, 0.1, 4, 5, 0.582135646578
0.1, 0, 0.05, 8, 0.001, 0.1, 0.05, 32, 0, 0.001, 16, 0.5, 0.499528786961
0.001, 0, 0.05, 32, 0.001, 0.0001, 0.7, 32, 0.1, 0, 64, 0.5, 0.493779432726
0.0001, 0.01, 0, 32, 0.01, 0.1, 0.05, 128, 0.0001, 0.0001, 4, 5, 0.659595826846
0.001, 0, 0.3, 16, 0.01, 0, 0.3, 128, 0.1, 0.1, 16, 0.2, 0.500883713557
0, 0.001, 0.3, 32, 0.0001, 0.1, 0.9, 258, 0.001, 0, 4, 5, 0.52185120066
0.0001, 0.001, 0, 16, 0.1, 0, 0.9, 128, 0.1, 0, 64, 1, 0.517403112171
0.01, 0.001, 0.1, 8, 0.0001, 0.001, 0.9, 258, 0.001, 0, 16, 5, 0.527655807547
0.001, 0.1, 0.5, 32, 0.01, 0.001, 0.05, 258, 0.01, 0, 64, 2, 0.51449437574
0, 0.01, 0.1, 16, 0.1, 0.1, 0, 64, 0.0001, 0.1, 4, 0.5, 0.50802000146
0.001, 0.01, 0, 16, 0.1, 0.1, 0.9, 258, 0, 0.1, 4, 0.5, 0.519365857413
0.1, 0.01, 0.3, 8, 0.0001, 0, 0.7, 128, 0.1, 0.1, 16, 0.5, 0.521174145179
0.01, 0.0001, 0.3, 16, 0.01, 0.01, 0.3, 64, 0.01, 0, 64, 2, 0.51389990982
0.01, 0, 0.05, 32, 0.001, 0.0001, 0.1, 128, 0.01, 0.0001, 4, 5, 0.63640857758
0, 0.1, 0.3, 8, 0.1, 0.01, 0.3, 258, 0.001, 0.1, 64, 5, 0.5368795012
0.0001, 0, 0.3, 16, 0, 0.1, 0.9, 128, 0.01, 0.1, 64, 0.2, 0.499920765065
0.0001, 0.0001, 0.3, 16, 0.1, 0, 0.3, 128, 0.001, 0.0001, 16, 5, 0.57522269779
0.001, 0.01, 0.05, 8, 0, 0.001, 0.3, 32, 0.1, 0, 64, 0.2, 0.502646641527
0.01, 0.001, 0.1, 16, 0.1, 0.0001, 0.05, 128, 0.1, 0.1, 4, 0.2, 0.511191793139
0.1, 0, 0.5, 8, 0.001, 0, 0.3, 64, 0, 0.001, 64, 1, 0.516685367059
0.0001, 0, 0, 16, 0.001, 0.0001, 0.1, 32, 0, 0.0001, 4, 0.2, 0.506993749215
0.001, 0, 0.5, 8, 0, 0, 0.9, 64, 0.01, 0, 4, 5, 0.499918896999
0.1, 0, 0.3, 32, 0.01, 0.01, 0.05, 64, 0.1, 0.1, 64, 0.2, 0.499415150672
0.001, 0.1, 0.05, 32, 0.0001, 0.0001, 0.9, 64, 0.1, 0.01, 16, 0.2, 0.497239051259
0.001, 0.1, 0.05, 16, 0.001, 0.01, 0.9, 128, 0.01, 0.1, 64, 0.2, 0.500218537397
0.0001, 0.01, 0.5, 8, 0.1, 0, 0.3, 258, 0.01, 0.0001, 16, 2, 0.519774621799
0.001, 0.0001, 0, 32, 0, 0.0001, 0.9, 64, 0.01, 0.001, 4, 0.5, 0.499918896999
0.0001, 0.001, 0.3, 8, 0, 0, 0.7, 128, 0.1, 0.1, 64, 1, 0.517004582681
0.0001, 0.001, 0.1, 8, 0.1, 0.0001, 0.1, 32, 0.0001, 0, 16, 2, 0.531459360687
0.0001, 0.01, 0.05, 8, 0, 0.0001, 0, 258, 0.0001, 0.001, 16, 0.2, 0.518891750187
0.1, 0.01, 0, 16, 0.0001, 0.001, 0, 32, 0.0001, 0.0001, 16, 1, 0.515033825805
0.0001, 0.01, 0.3, 32, 0, 0.0001, 0.5, 258, 0.01, 0.1, 64, 0.2, 0.498884567342
0.1, 0, 0.05, 16, 0, 0.0001, 0.05, 258, 0.001, 0.1, 4, 5, 0.64336104517
0.001, 0, 0.5, 32, 0.1, 0.0001, 0.1, 258, 0.001, 0.001, 64, 5, 0.574921518211
0.001, 0.1, 0, 32, 0.1, 0, 0.5, 32, 0, 0.01, 4, 0.2, 0.510228226344
0, 0.01, 0.5, 16, 0.0001, 0.0001, 0.7, 32, 0.01, 0, 16, 2, 0.534007994533
0.1, 0.1, 0, 32, 0.1, 0.01, 0.7, 128, 0.0001, 0.001, 64, 2, 0.530234790885
0.001, 0.01, 0.5, 16, 0.001, 0.1, 0.05, 64, 0.001, 0.001, 16, 2, 0.526801259497
0.1, 0, 0.3, 8, 0.0001, 0.0001, 0.1, 64, 0.0001, 0.0001, 16, 2, 0.530258207486
0, 0.1, 0.1, 16, 0.0001, 0.01, 0.05, 32, 0.0001, 0.1, 16, 1, 0.515078527833
0.01, 0.01, 0.05, 16, 0.01, 0, 0.05, 32, 0.001, 0.01, 16, 0.2, 0.499111945163
0, 0.0001, 0.1, 8, 0.01, 0.0001, 0, 128, 0.0001, 0.01, 4, 5, 0.630575410333
0.1, 0.001, 0, 32, 0.001, 0, 0.05, 128, 0.001, 0.1, 4, 2, 0.6107322884
0.0001, 0, 0.3, 32, 0.1, 0.0001, 0.9, 128, 0.1, 0, 16, 0.5, 0.512646556017
0, 0.1, 0.3, 8, 0.001, 0, 0.9, 64, 0.0001, 0.001, 16, 0.2, 0.499918896999
0.1, 0.0001, 0.1, 16, 0.001, 0, 0.5, 258, 0.0001, 0, 16, 2, 0.524394559192
0, 0, 0.5, 16, 0.001, 0, 0, 32, 0.001, 0.001, 4, 2, 0.593757555307
0.01, 0.1, 0.3, 32, 0, 0.0001, 0.9, 32, 0.001, 0.1, 16, 5, 0.499918896999
0.01, 0.0001, 0.3, 16, 0.001, 0, 0.7, 64, 0.01, 0.0001, 64, 1, 0.504707447071
0.1, 0.0001, 0.1, 16, 0.001, 0.001, 0, 64, 0.0001, 0, 64, 2, 0.564856155639
0.0001, 0.1, 0.1, 32, 0.1, 0.001, 0.1, 64, 0, 0.0001, 4, 2, 0.610227029203
0.0001, 0.1, 0.05, 8, 0.01, 0.0001, 0, 32, 0.001, 0.0001, 16, 1, 0.51832666026
0, 0.001, 0.1, 32, 0, 0.01, 0.05, 258, 0.01, 0, 16, 0.2, 0.512849793691
0, 0, 0.05, 8, 0.0001, 0.0001, 0.1, 64, 0.001, 0.001, 16, 1, 0.520029718034
0.1, 0, 0.3, 32, 0, 0.1, 0.7, 128, 0.001, 0, 4, 1, 0.514808158186
0, 0.01, 0.05, 16, 0.001, 0, 0.5, 64, 0.001, 0.0001, 64, 2, 0.518015495738
0, 0.1, 0.5, 16, 0, 0.001, 0.3, 258, 0.1, 0.0001, 16, 1, 0.507963249093
0.001, 0.01, 0.3, 8, 0.0001, 0, 0.9, 258, 0.01, 0, 16, 0.5, 0.499918896999
0.01, 0.01, 0.5, 8, 0, 0.0001, 0, 64, 0, 0.0001, 4, 2, 0.559594327131
0.1, 0.001, 0.5, 16, 0.1, 0, 0.7, 128, 0, 0, 16, 1, 0.516306202308
0.01, 0.1, 0, 8, 0.001, 0.001, 0.3, 128, 0.001, 0.0001, 64, 2, 0.522874348232
0.001, 0.001, 0.3, 16, 0.1, 0.01, 0, 32, 0.1, 0.01, 16, 5, 0.662741399826
0, 0.001, 0.1, 32, 0, 0, 0.3, 258, 0.0001, 0.01, 64, 5, 0.54278516782
0.01, 0.1, 0.1, 8, 0.001, 0, 0.1, 258, 0.01, 0.0001, 16, 2, 0.557841976098
0.01, 0.01, 0.05, 32, 0.1, 0, 0.05, 128, 0.001, 0, 64, 0.2, 0.504387849942
0.0001, 0.01, 0.05, 32, 0, 0.01, 0.9, 64, 0.1, 0, 4, 0.2, 0.517887322739
0.001, 0, 0.1, 8, 0.001, 0.01, 0.7, 64, 0.1, 0.1, 64, 1, 0.517582512272
0.01, 0.0001, 0.5, 8, 0.0001, 0, 0.05, 128, 0.01, 0.1, 16, 1, 0.523762468846
0.0001, 0.1, 0.05, 8, 0.01, 0, 0.3, 128, 0.01, 0.01, 64, 0.5, 0.51350591894
0.001, 0.1, 0.05, 16, 0.1, 0.1, 0.5, 128, 0.01, 0.01, 64, 2, 0.519318432219
0.1, 0.01, 0.5, 16, 0.1, 0, 0.1, 258, 0.01, 0, 64, 5, 0.546936141747
