c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, c1_width, c2_W_regularizer, c2_b_regularizer, c2_dropout, c2_filters, c2_width, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, d2_W_regularizer, d2_b_regularizer, d2_dropout, d2_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, epochs, learning_rate, margin, auc
0.0001, 0.1, 0.1, 8, 20, 0.01, 0.01, 0, 32, 3, 0.001, 0.001, 0.1, 128, 0.01, 0.1, 0.05, 256, 1e-05, 0.1, 64, 200, 0.0001, 8, 0.69618442283
0.1, 0.1, 0, 8, 10, 0.001, 0.1, 0.1, 8, 3, 0.01, 0, 0.05, 256, 0.01, 0.001, 0.1, 128, 0.0001, 0.01, 64, 200, 0.0001, 15, 0.647318595346
0.01, 0.1, 0, 16, 20, 0.1, 0.01, 0.1, 0, 5, 0.001, 0.0001, 0.1, 128, 0.01, 0.01, 0.1, 256, 0.0001, 0, 64, 200, 0.0001, 15, 0.664967608132
0, 0.01, 0.3, 16, 20, 0.0001, 0.001, 0.1, 0, 8, 0.001, 0.001, 0.05, 128, 0.01, 0.001, 0.05, 256, 0.0001, 0.001, 64, 200, 0.0005, 10, 0.685279167316
0.1, 0.1, 0.05, 16, 10, 0.1, 0.001, 0, 8, 5, 0.001, 0.1, 0.05, 128, 0.001, 0, 0.05, 128, 0.001, 0.1, 64, 200, 0.001, 10, 0.721510397036
0.0001, 0.1, 0.3, 16, 10, 0, 0.01, 0.1, 0, 8, 0.1, 0, 0.05, 128, 0.1, 0.0001, 0.1, 256, 0, 0, 16, 200, 0.002, 8, 0.70502770197
0.0001, 0.0001, 0.1, 8, 20, 0.1, 0.1, 0, 32, 8, 0.01, 0.01, 0.1, 128, 0.1, 0, 0.05, 128, 0.0001, 0.0001, 64, 200, 0.0005, 8, 0.696962393334
0.1, 0.01, 0, 32, 10, 0, 0.0001, 0.1, 32, 8, 0.01, 0.001, 0.1, 128, 0.001, 0, 0.1, 256, 0, 0.001, 16, 200, 0.001, 10, 0.683945618234
0.1, 0.01, 0.1, 32, 5, 0.001, 0.1, 0.1, 0, 5, 0.001, 0, 0.1, 256, 0.001, 0, 0.05, 256, 0.0001, 0.1, 64, 200, 0.001, 15, 0.7309479053
0.0001, 0.1, 0, 8, 5, 0.01, 0.01, 0.1, 16, 5, 0.1, 0, 0.1, 128, 0.01, 0.01, 0.1, 256, 0.0001, 0.1, 16, 200, 0.002, 15, 0.693140909393
0.001, 0.0001, 0.3, 32, 5, 0.01, 0.01, 0.05, 16, 8, 0.001, 0.0001, 0.1, 128, 0.001, 0.001, 0.05, 128, 0.0001, 0.001, 64, 200, 0.0001, 10, 0.690801419993
0.0001, 0.001, 0.05, 32, 5, 0.001, 0.1, 0.05, 16, 3, 0.1, 0.1, 0.05, 256, 0.01, 0.01, 0.05, 128, 0.001, 0.0001, 64, 200, 0.002, 15, 0.69498166467
0.001, 0.0001, 0.1, 8, 5, 0.1, 0.01, 0.1, 16, 5, 0.001, 0.1, 0.05, 128, 0.01, 0.001, 0.05, 128, 0.0001, 0.0001, 16, 200, 0.0005, 10, 0.657203334366
0, 0.1, 0, 8, 5, 0.1, 0.001, 0, 0, 5, 0.01, 0.1, 0.1, 256, 0.1, 0.1, 0.1, 128, 0.0001, 0.001, 16, 200, 0.0001, 10, 0.629488801142
0.1, 0.001, 0.3, 8, 5, 0.1, 0.0001, 0.1, 16, 8, 0.01, 0.001, 0.05, 256, 0.001, 0.1, 0.05, 256, 0.0001, 0.01, 16, 200, 0.002, 10, 0.689650309908
0.1, 0.001, 0.3, 16, 10, 0, 0.01, 0, 0, 3, 0.001, 0.0001, 0.05, 128, 0.001, 0.001, 0.1, 128, 0.0001, 0.0001, 16, 200, 0.0001, 15, 0.68126661444
0.01, 0.01, 0.3, 32, 20, 0.0001, 0.1, 0.05, 8, 5, 0.01, 0.001, 0.1, 128, 0.1, 0.0001, 0.05, 256, 0.001, 0.01, 16, 200, 0.001, 15, 0.711808215412
0, 0.01, 0, 8, 10, 0.001, 0.01, 0.05, 32, 5, 0.1, 0.1, 0.05, 128, 0.001, 0.001, 0.1, 128, 1e-05, 0.001, 64, 200, 0.0001, 15, 0.613325611117
0.01, 0.01, 0.1, 8, 5, 0.0001, 0.0001, 0, 0, 8, 0.1, 0.1, 0.05, 128, 0.01, 0.1, 0.05, 256, 1e-05, 0.001, 64, 200, 0.002, 15, 0.717922894923
0, 0.001, 0.1, 8, 10, 0.01, 0.1, 0.05, 16, 5, 0.01, 0, 0.1, 256, 0.01, 0.0001, 0.05, 256, 0.001, 0.01, 64, 200, 0.002, 15, 0.68238129724
0.001, 0.0001, 0, 8, 10, 0.001, 0.1, 0.05, 16, 8, 0.001, 0.001, 0.05, 128, 0.1, 0, 0.05, 256, 0, 0.1, 16, 200, 0.0005, 8, 0.703050393708
0.001, 0.001, 0.05, 32, 5, 0.01, 0.01, 0, 16, 5, 0.001, 0.1, 0.05, 256, 0.001, 0.001, 0.1, 256, 0.001, 0.0001, 64, 200, 0.0005, 8, 0.676710020266
0.0001, 0.01, 0, 8, 20, 0, 0.1, 0.05, 0, 5, 0.01, 0.001, 0.1, 128, 0.001, 0.1, 0.1, 128, 0.0001, 0.01, 64, 200, 0.002, 15, 0.696394172424
0.001, 0.0001, 0.3, 8, 5, 0.0001, 0.0001, 0.1, 32, 5, 0.1, 0.01, 0.1, 128, 0.1, 0, 0.1, 256, 0.0001, 0.1, 64, 200, 0.0001, 10, 0.698424931049
0, 0.1, 0.1, 16, 5, 0.1, 0.001, 0, 32, 8, 0.01, 0, 0.1, 128, 0.001, 0.1, 0.1, 256, 0, 0.0001, 64, 200, 0.0001, 15, 0.672512002652
0, 0.0001, 0.05, 8, 5, 0.01, 0.0001, 0.1, 16, 8, 0.01, 0.01, 0.1, 128, 0.001, 0.01, 0.1, 256, 0, 0.01, 64, 200, 0.0001, 8, 0.697272794844
0.001, 0.01, 0.1, 16, 10, 0.0001, 0.0001, 0.05, 0, 5, 0.01, 0.1, 0.1, 128, 0.01, 0.001, 0.05, 128, 0, 0.1, 64, 200, 0.002, 8, 0.726218186148
0.001, 0.01, 0.1, 16, 5, 0.01, 0.0001, 0.05, 32, 5, 0.001, 0.1, 0.05, 128, 0.1, 0.001, 0.1, 256, 1e-05, 0.0001, 64, 200, 0.002, 10, 0.687219166882
0.0001, 0.001, 0.05, 32, 5, 0.1, 0.001, 0.1, 32, 3, 0.1, 0.1, 0.1, 256, 0.1, 0.001, 0.05, 256, 0.0001, 0, 16, 200, 0.0001, 10, 0.729081431228
0.1, 0.1, 0.3, 8, 10, 0.0001, 0.0001, 0.1, 0, 3, 0.001, 0.1, 0.1, 128, 0.01, 0.1, 0.05, 128, 0.001, 0.0001, 16, 200, 0.0001, 10, 0.694098030046
0, 0.001, 0.1, 16, 5, 0.01, 0.1, 0.1, 8, 3, 0.001, 0, 0.1, 256, 0.01, 0.0001, 0.1, 256, 0.001, 0, 16, 200, 0.001, 15, 0.70611779734
0.1, 0.1, 0.1, 8, 5, 0.1, 0.1, 0, 0, 5, 0.01, 0.001, 0.1, 128, 0.001, 0.001, 0.05, 256, 1e-05, 0.001, 16, 200, 0.0001, 15, 0.662714668066
0, 0.001, 0, 32, 20, 0.0001, 0.001, 0.05, 8, 3, 0.1, 0, 0.1, 128, 0.01, 0.1, 0.1, 128, 0.0001, 0.0001, 16, 200, 0.0001, 15, 0.687317648158
0, 0.01, 0, 8, 20, 0, 0.001, 0, 16, 3, 0.1, 0.001, 0.05, 256, 0.1, 0.001, 0.05, 256, 1e-05, 0, 16, 200, 0.001, 10, 0.687987349774
0.001, 0.01, 0, 16, 5, 0.0001, 0.01, 0.1, 0, 3, 0.1, 0.01, 0.05, 128, 0.001, 0, 0.1, 128, 1e-05, 0, 64, 200, 0.001, 10, 0.673367800464
0.001, 0.1, 0.1, 32, 5, 0.001, 0.0001, 0.05, 32, 5, 0.1, 0, 0.1, 128, 0.1, 0.0001, 0.05, 256, 0.001, 0.01, 64, 200, 0.001, 10, 0.714690443725
0.0001, 0.01, 0, 16, 5, 0.01, 0.0001, 0.1, 8, 5, 0.001, 0.1, 0.05, 256, 0.001, 0.001, 0.05, 128, 1e-05, 0, 16, 200, 0.0005, 8, 0.680791994154
0.001, 0.1, 0.3, 8, 20, 0, 0.01, 0.05, 8, 5, 0.1, 0.1, 0.1, 128, 0.001, 0.01, 0.05, 128, 0, 0, 64, 200, 0.0001, 8, 0.719987357667
0, 0.0001, 0.3, 32, 20, 0, 0.0001, 0.05, 8, 8, 0.001, 0.001, 0.05, 256, 0.1, 0.0001, 0.1, 256, 0.001, 0, 64, 200, 0.0001, 15, 0.674116223955
0.1, 0.001, 0, 16, 5, 0.0001, 0.001, 0.1, 16, 5, 0.001, 0.001, 0.1, 256, 0.1, 0.0001, 0.1, 128, 0.001, 0.01, 16, 200, 0.002, 8, 0.697891756107
0.001, 0.01, 0.1, 32, 5, 0, 0.001, 0, 0, 8, 0.001, 0.0001, 0.1, 256, 0.001, 0, 0.1, 128, 1e-05, 0, 16, 200, 0.0001, 15, 0.64324435683
0.01, 0.001, 0, 8, 5, 0.1, 0.1, 0.1, 32, 8, 0.001, 0.1, 0.1, 128, 0.001, 0.001, 0.1, 256, 0.001, 0.01, 64, 200, 0.001, 10, 0.698985403433
0.1, 0.01, 0.1, 8, 5, 0.1, 0.01, 0.05, 0, 5, 0.01, 0, 0.1, 128, 0.01, 0.1, 0.05, 128, 1e-05, 0.1, 16, 200, 0.0005, 8, 0.665820117096
0.0001, 0.001, 0.05, 16, 10, 0, 0.001, 0, 0, 8, 0.001, 0.0001, 0.05, 256, 0.01, 0.001, 0.05, 128, 0.0001, 0.001, 64, 200, 0.0005, 8, 0.652055839383
0.0001, 0.0001, 0.3, 32, 5, 0.001, 0.1, 0, 8, 5, 0.1, 0, 0.1, 128, 0.01, 0.001, 0.05, 256, 0.001, 0.01, 16, 200, 0.0001, 8, 0.677301447291
0.0001, 0.0001, 0.1, 32, 10, 0.1, 0.01, 0.05, 0, 5, 0.1, 0.01, 0.05, 128, 0.1, 0, 0.1, 128, 0.0001, 0.01, 64, 200, 0.001, 10, 0.733705959854
0.1, 0.01, 0.1, 8, 20, 0.1, 0.1, 0.1, 0, 8, 0.1, 0.01, 0.1, 256, 0.1, 0.0001, 0.05, 256, 0, 0.0001, 16, 200, 0.0001, 15, 0.683537774726
0.1, 0.1, 0, 8, 5, 0.0001, 0.01, 0, 16, 8, 0.1, 0.01, 0.05, 256, 0.1, 0, 0.05, 128, 0.001, 0.1, 16, 200, 0.001, 8, 0.689571403858
0, 0.001, 0, 16, 20, 0.001, 0.01, 0.1, 16, 5, 0.01, 0.01, 0.05, 256, 0.1, 0.01, 0.05, 128, 0, 0.1, 16, 200, 0.0005, 8, 0.67814897036
0.1, 0.0001, 0, 32, 5, 0, 0.01, 0.05, 32, 3, 0.01, 0, 0.1, 128, 0.1, 0.001, 0.05, 128, 0.001, 0.01, 64, 200, 0.0001, 15, 0.723229267593
0.0001, 0.0001, 0.3, 8, 5, 0, 0.1, 0.1, 0, 5, 0.001, 0.0001, 0.1, 256, 0.01, 0.001, 0.1, 128, 0, 0.001, 64, 200, 0.001, 8, 0.672132601104
0.001, 0.0001, 0, 32, 10, 0.001, 0.1, 0.05, 0, 5, 0.001, 0.0001, 0.05, 128, 0.01, 0, 0.05, 256, 0.001, 0.0001, 64, 200, 0.001, 8, 0.716894774612
0.1, 0.0001, 0.1, 8, 20, 0, 0.01, 0.1, 0, 5, 0.01, 0.01, 0.1, 128, 0.001, 0.1, 0.1, 256, 0.0001, 0.1, 16, 200, 0.0001, 8, 0.678633601901
0, 0.1, 0, 16, 5, 0, 0.0001, 0, 0, 3, 0.1, 0.001, 0.05, 256, 0.01, 0.001, 0.1, 256, 0.0001, 0, 16, 200, 0.0001, 15, 0.672661263747
0, 0.0001, 0.1, 16, 10, 0.001, 0.0001, 0.05, 8, 3, 0.1, 0.0001, 0.05, 256, 0.01, 0.001, 0.1, 128, 0, 0.01, 16, 200, 0.002, 10, 0.675640381533
0.001, 0.0001, 0.3, 8, 20, 0.01, 0.0001, 0.1, 32, 3, 0.01, 0.001, 0.05, 128, 0.001, 0, 0.05, 256, 0.0001, 0, 64, 200, 0.0001, 8, 0.652189563958
0.01, 0.01, 0, 8, 20, 0.001, 0.1, 0.05, 32, 8, 0.1, 0.001, 0.1, 128, 0.1, 0.1, 0.1, 128, 0.001, 0, 64, 200, 0.0001, 10, 0.676809238244
0, 0.01, 0, 8, 10, 0.01, 0.01, 0.1, 16, 3, 0.001, 0.01, 0.1, 256, 0.001, 0.1, 0.1, 128, 0.0001, 0.01, 16, 200, 0.002, 15, 0.676873673361
0.0001, 0.01, 0.1, 16, 20, 0, 0.1, 0.05, 8, 3, 0.001, 0.001, 0.05, 256, 0.001, 0.01, 0.1, 128, 0.0001, 0, 64, 200, 0.002, 8, 0.708784079869
0.01, 0.001, 0.05, 16, 20, 0.1, 0.01, 0, 32, 8, 0.001, 0.1, 0.1, 128, 0.001, 0.001, 0.05, 128, 1e-05, 0.01, 16, 200, 0.002, 15, 0.692230885049
0.01, 0.1, 0, 16, 10, 0.0001, 0.0001, 0, 16, 5, 0.1, 0.01, 0.1, 128, 0.1, 0.01, 0.05, 128, 1e-05, 0.1, 64, 200, 0.001, 8, 0.666565146495
0.001, 0.0001, 0, 32, 10, 0.01, 0.0001, 0, 0, 8, 0.01, 0.01, 0.1, 256, 0.001, 0.001, 0.05, 256, 0, 0.01, 16, 200, 0.002, 8, 0.703036804187
0.0001, 0.001, 0.3, 8, 5, 0, 0.1, 0.05, 8, 3, 0.001, 0.0001, 0.05, 256, 0.001, 0.001, 0.05, 128, 0.001, 0.001, 16, 200, 0.0005, 15, 0.676739488347
0, 0.1, 0, 8, 5, 0, 0.001, 0, 16, 8, 0.001, 0.0001, 0.1, 128, 0.001, 0.01, 0.1, 256, 0.001, 0.001, 16, 200, 0.001, 8, 0.658272262708
0.1, 0.01, 0.1, 8, 5, 0.0001, 0.001, 0, 8, 3, 0.001, 0.001, 0.05, 128, 0.01, 0.001, 0.05, 128, 0, 0.001, 64, 200, 0.0005, 15, 0.665120276474
0.1, 0.01, 0.05, 16, 20, 0.001, 0.01, 0, 32, 5, 0.01, 0.001, 0.05, 256, 0.01, 0.0001, 0.1, 256, 0.0001, 0.1, 64, 200, 0.0005, 8, 0.679550243408
0, 0.0001, 0.3, 8, 5, 0.1, 0.1, 0, 0, 8, 0.1, 0.001, 0.05, 128, 0.1, 0.1, 0.1, 128, 0.001, 0.1, 64, 200, 0.002, 10, 0.735176772311
0, 0.001, 0, 16, 10, 0.0001, 0.001, 0, 32, 3, 0.1, 0.0001, 0.1, 256, 0.01, 0, 0.05, 128, 0.0001, 0.001, 64, 200, 0.0001, 15, 0.637021066389
0.1, 0.001, 0, 16, 20, 0, 0.001, 0, 16, 8, 0.1, 0.0001, 0.05, 128, 0.01, 0.001, 0.1, 256, 1e-05, 0.1, 16, 200, 0.0001, 10, 0.654531802835
0.0001, 0.1, 0.1, 32, 10, 0.001, 0.1, 0, 8, 3, 0.1, 0.1, 0.1, 256, 0.1, 0.001, 0.1, 128, 0, 0.1, 64, 200, 0.002, 10, 0.688007569613
0, 0.01, 0.05, 16, 5, 0, 0.001, 0.1, 0, 3, 0.1, 0.001, 0.1, 128, 0.01, 0.1, 0.1, 256, 0.0001, 0.0001, 64, 200, 0.0005, 15, 0.672064482477
0.01, 0.001, 0, 8, 10, 0, 0.1, 0.1, 32, 8, 0.01, 0, 0.1, 128, 0.1, 0.01, 0.1, 256, 0.001, 0.001, 16, 200, 0.002, 15, 0.683891036507
0, 0.1, 0.05, 8, 5, 0.01, 0.001, 0.05, 32, 8, 0.01, 0.0001, 0.1, 256, 0.1, 0, 0.1, 128, 0.001, 0.001, 64, 200, 0.002, 10, 0.710624914079
0.1, 0.1, 0, 8, 10, 0.001, 0.01, 0, 8, 8, 0.1, 0.1, 0.05, 128, 0.001, 0.0001, 0.05, 256, 0.0001, 0, 64, 200, 0.0005, 8, 0.667681565808
0.01, 0.01, 0.1, 8, 5, 0, 0.0001, 0, 32, 5, 0.01, 0, 0.05, 128, 0.001, 0.1, 0.1, 256, 0.001, 0.0001, 64, 200, 0.001, 15, 0.669713337398
0.1, 0.0001, 0.1, 16, 5, 0.1, 0.001, 0.05, 32, 3, 0.1, 0, 0.05, 128, 0.001, 0.1, 0.1, 256, 0.0001, 0.0001, 16, 200, 0.0005, 10, 0.703193905896
0.01, 0.01, 0, 32, 5, 0.01, 0.001, 0, 0, 3, 0.01, 0.1, 0.05, 128, 0.001, 0.001, 0.05, 128, 0.001, 0.001, 64, 200, 0.002, 15, 0.706897675376
0, 0.0001, 0.05, 16, 20, 0.1, 0.001, 0.05, 32, 8, 0.01, 0.001, 0.1, 128, 0.01, 0.01, 0.1, 128, 0.001, 0.001, 64, 200, 0.0001, 10, 0.665145350654
0.1, 0.0001, 0.05, 8, 5, 0, 0.001, 0, 0, 3, 0.1, 0.0001, 0.05, 128, 0.1, 0.01, 0.1, 128, 0.001, 0.01, 16, 200, 0.0001, 15, 0.644491856483
0.0001, 0.0001, 0.1, 16, 10, 0.001, 0.01, 0.05, 8, 8, 0.1, 0.1, 0.1, 128, 0.01, 0.1, 0.1, 128, 0.0001, 0.1, 16, 200, 0.002, 10, 0.682116571257
0.01, 0.1, 0.05, 32, 5, 0.1, 0.001, 0.05, 0, 3, 0.001, 0.01, 0.05, 256, 0.1, 0, 0.1, 256, 0, 0.001, 16, 200, 0.001, 8, 0.704530796447
0.001, 0.01, 0.3, 16, 20, 0, 0.001, 0.05, 16, 3, 0.001, 0.1, 0.05, 256, 0.01, 0, 0.05, 256, 0.001, 0.0001, 16, 200, 0.0005, 15, 0.736983297255
0.01, 0.1, 0.1, 8, 20, 0, 0.001, 0, 8, 5, 0.1, 0.1, 0.05, 256, 0.001, 0.01, 0.1, 128, 0, 0.1, 64, 200, 0.0005, 15, 0.642385717452
0.001, 0.0001, 0, 16, 10, 0.001, 0.0001, 0, 8, 5, 0.01, 0.0001, 0.1, 128, 0.001, 0, 0.05, 256, 0, 0, 64, 200, 0.0005, 10, 0.703701533064
0.0001, 0.1, 0.05, 16, 5, 0.1, 0.001, 0.1, 32, 5, 0.001, 0.1, 0.05, 128, 0.01, 0.01, 0.1, 128, 0.0001, 0, 64, 200, 0.0005, 10, 0.687991230615
0.01, 0.001, 0.3, 32, 20, 0.0001, 0.01, 0, 16, 5, 0.01, 0.001, 0.05, 128, 0.01, 0.0001, 0.1, 128, 0.0001, 0.001, 16, 200, 0.0001, 8, 0.705268879799
0.0001, 0.1, 0.3, 32, 10, 0, 0.1, 0.05, 16, 5, 0.01, 0, 0.1, 128, 0.001, 0, 0.05, 256, 1e-05, 0.0001, 64, 200, 0.0005, 15, 0.719918357628
0.001, 0.0001, 0, 32, 20, 0.01, 0.1, 0, 32, 8, 0.1, 0.001, 0.1, 128, 0.001, 0.1, 0.1, 256, 1e-05, 0, 16, 200, 0.0001, 15, 0.641655185297
0.0001, 0.01, 0.3, 16, 10, 0.0001, 0.001, 0.1, 16, 8, 0.001, 0.0001, 0.05, 128, 0.1, 0.001, 0.1, 256, 0, 0, 64, 200, 0.002, 15, 0.655477872957
0.01, 0.001, 0, 8, 20, 0.001, 0.1, 0, 0, 8, 0.01, 0.0001, 0.05, 128, 0.01, 0.01, 0.05, 256, 0.0001, 0.0001, 16, 200, 0.001, 10, 0.652459525788
0.01, 0.0001, 0.3, 32, 5, 0.1, 0.01, 0.05, 8, 5, 0.1, 0.1, 0.05, 256, 0.001, 0.1, 0.1, 256, 0.001, 0.1, 64, 200, 0.001, 10, 0.713910026317
0, 0.1, 0, 16, 20, 0.01, 0.01, 0.1, 8, 3, 0.01, 0.1, 0.1, 128, 0.01, 0.1, 0.05, 128, 0.0001, 0.001, 64, 200, 0.001, 15, 0.626812362649
0.01, 0.01, 0.1, 32, 10, 0.001, 0.01, 0, 32, 3, 0.1, 0.0001, 0.05, 128, 0.1, 0.01, 0.05, 256, 0, 0.01, 16, 200, 0.002, 10, 0.717368894993
0, 0.1, 0, 16, 5, 0.001, 0.1, 0.1, 8, 3, 0.1, 0.001, 0.1, 128, 0.01, 0.001, 0.1, 128, 0.0001, 0.001, 16, 200, 0.0001, 10, 0.66009695525
0.001, 0.1, 0.3, 32, 10, 0, 0.001, 0.05, 0, 8, 0.001, 0, 0.1, 256, 0.001, 0.001, 0.1, 256, 0, 0, 16, 200, 0.001, 15, 0.727156218324
0, 0.0001, 0.3, 16, 10, 0.0001, 0.01, 0.05, 16, 8, 0.001, 0.1, 0.05, 256, 0.001, 0, 0.05, 128, 0, 0.1, 64, 200, 0.0005, 8, 0.672702795324
0.001, 0.0001, 0.1, 8, 10, 0.01, 0.001, 0.1, 32, 5, 0.1, 0, 0.05, 256, 0.001, 0.001, 0.05, 256, 0.0001, 0.001, 16, 200, 0.0005, 10, 0.700807780626
0.001, 0.0001, 0, 8, 10, 0, 0.01, 0.1, 32, 3, 0.1, 0.1, 0.1, 256, 0.001, 0.01, 0.05, 256, 0, 0.0001, 64, 200, 0.001, 8, 0.675480201462
0, 0.001, 0.1, 8, 10, 0, 0.001, 0.05, 8, 8, 0.001, 0.001, 0.05, 128, 0.1, 0, 0.05, 128, 0.001, 0.001, 16, 200, 0.002, 8, 0.741080847128
